,specialty,university,mark_mean_years,placesCount_years,budgetCount_years,contractCount_years,budget_mark_mean_years,abit_count_years,mark_max_years,mark_min_years,budget_mark_max_years,budget_mark_min_years
42344,Екологія,"Національний університет ""Львівська політехніка""",150.9460609318996,43.90681003584229,33.562724014336915,10.344086021505376,164.10139307048982,146.168458781362,196.91440143369175,110.34062365591397,174.8494623655914,158.69329749103943
42453,Геодезіятаземлеустрій,"Національний університет ""Львівська політехніка""",151.10134788732393,224.18028169014084,79.81971830985916,144.3605633802817,166.68221855315204,355.7211267605634,194.8056943661972,108.45532816901408,180.63212816901407,138.52088732394367
42792,Галузевемашинобудування,"Національний університет ""Львівська політехніка""",147.64697407407405,129.85185185185185,47.53703703703704,82.31481481481481,149.79058316872428,135.02962962962962,192.01337407407405,109.24827777777779,188.85881111111112,126.04071111111111
42929,Видавництвотаполіграфія,"Національний університет ""Львівська політехніка""",161.23303621169916,44.5125348189415,30.74373259052925,13.768802228412257,174.48440848717703,181.20612813370474,191.66311977715876,117.53978272980501,191.66311977715876,160.72978830083565
43091,Біотехнологіїтабіоінженерія,"Національний університет ""Львівська політехніка""",170.67343115438098,41.06258692628651,21.57440890125174,19.48817802503477,190.61355802812548,367.461752433936,200.0,111.49110709318498,195.7709012517385,170.61833936022254
43397,Біомедичнаінженерія,"Національний університет ""Львівська політехніка""",168.33414624505932,52.88537549407115,16.57707509881423,36.308300395256914,182.39041358246496,149.12648221343875,199.06167588932806,126.90569960474308,196.14225296442686,161.1142766798419
43470,Будівництвотацивільнаінженерія,"Національний університет ""Львівська політехніка""",152.21135347043707,336.6478149100257,186.0,150.64781491002572,154.52933006026512,389.8329048843188,193.99681362467868,108.57125578406169,189.49365681233934,131.03497172236504
43841,Атомнаенергетика,"Національний університет ""Львівська політехніка""",152.68066206896552,22.00689655172414,17.144827586206898,4.862068965517241,149.0562304597701,74.02068965517242,186.78802068965516,117.1214827586207,177.9769448275862,129.20250344827585
43924,Авіоніка,"Національний університет ""Львівська політехніка""",156.66223404255322,44.46808510638298,10.0,34.46808510638298,168.80149361702126,47.53191489361702,192.16448936170212,119.38672340425532,180.86495744680852,158.89238297872342
43966,Автомобільнийтранспорт,"Національний університет ""Львівська політехніка""",145.24959203980094,155.38805970149255,41.25373134328358,114.13432835820896,156.61460433728791,202.43781094527364,188.42029353233835,109.91987562189055,188.42029353233835,127.89674129353233
44150,Автоматизаціятакомп’ютерно,"Національний університет ""Львівська політехніка""",153.67690016103057,57.552334943639295,41.06280193236715,16.48953301127214,163.29906651912705,310.6360708534622,196.79294363929148,112.66349114331724,185.45833655394526,155.39634138486312
44454,Інформаційнісистемитатехнології,"Національний університет ""Львівська політехніка""",165.58835149863762,79.11103542234332,14.580381471389646,64.53065395095368,181.37981204532673,762.6444141689374,200.0,112.57464237057222,192.01827997275205,172.10476430517713
45043,"Інформаційна,бібліотечнатаархівнасправа","Національний університет ""Львівська політехніка""",157.25526072607258,80.0,15.551155115511552,64.44884488448845,174.23322046204618,153.0858085808581,190.10017161716172,114.9238712871287,185.7432904290429,164.09830693069307
45179,Інженеріяпрограмногозабезпечення,"Національний університет ""Львівська політехніка""",172.81065726013338,163.51564905079528,123.71831708568497,39.79733196511031,191.37839960871972,1950.9091841970242,200.0,116.47030836326321,200.0,140.55163468445357
47189,Хімічнітехнологіїтаінженерія,Національний технічний університет України «Київський політехнічний інститут імені Ігоря Сікорського»,164.05121941122354,171.3040478380865,149.93928242870285,7.330726770929163,167.31732980362148,445.85924563017477,198.88213477460903,112.83504323827046,197.27650781968723,144.90202207911682
47975,Філологія,Національний технічний університет України «Київський політехнічний інститут імені Ігоря Сікорського»,167.24202759234552,92.9394748553627,18.745438362260792,51.10547396528705,189.53885884015125,993.2723631508678,200.0,118.4322429906542,197.89967734757454,167.99532710280374
49731,"Фізичнатерапія,ерготерапія",Національний технічний університет України «Київський політехнічний інститут імені Ігоря Сікорського»,155.56982599580715,53.920335429769395,12.51153039832285,20.947589098532493,170.59247053554412,186.1488469601677,193.14633333333333,120.09297693920335,183.75649895178196,159.68511530398322
49880,Фізикатаастрономія,Національний технічний університет України «Київський політехнічний інститут імені Ігоря Сікорського»,166.37990886075943,60.0,22.939240506329114,25.865822784810128,166.44149017772665,132.90379746835444,196.84262025316454,116.7979746835443,192.02572911392406,141.3064151898734
50026,Теплоенергетика,Національний технічний університет України «Київський політехнічний інститут імені Ігоря Сікорського»,152.908707250342,113.72777017783858,68.42407660738714,30.35704514363885,152.99633699788583,165.1641586867305,190.0395759233926,115.0138850889193,181.665731874145,133.50561149110806
50320,Телекомунікаціїтарадіотехніка,Національний технічний університет України «Київський політехнічний інститут імені Ігоря Сікорського»,156.8591775239271,194.17412781722754,134.3606051250386,43.34362457548626,159.21542906352775,427.7792528558197,197.2765378203149,113.24327199753012,191.410143562828,133.2792581043532
51617,Соціологія,Національний технічний університет України «Київський політехнічний інститут імені Ігоря Сікорського»,163.37242963885427,166.73723536737236,19.322540473225406,96.453300124533,182.5835237510777,284.9651307596513,198.22297633872975,118.5250884184309,189.199601494396,175.12510460772106
